Accession ID,Virus name,City,Province,Country,Collection date
EPI_ISL_408480,BetaCoV/Yunnan/IVDC-YN-003/2020,Kunming,Yunnan,China,2020/1/17
EPI_ISL_408481,BetaCoV/Chongqing/IVDC-CQ-001/2020,Chongqing,Chongqing,China,2020/1/18
EPI_ISL_408482,BetaCoV/Shandong/IVDC-SD-001/2020,Qingdao,Shandong,China,2020/1/19
EPI_ISL_408483,BetaCoV/Shanghai/IVDC-SH-001/2020,Shanghai,Shanghai,China,2020/1/20
EPI_ISL_408484,BetaCoV/Sichuan/IVDC-SC-001/2020,Chengdu,Sichuan,China,2020/1/15
EPI_ISL_408485,BetaCoV/Beijing/IVDC-BJ-005/2020,Beijing,Beijing,China,2020/1/18
EPI_ISL_408486,BetaCoV/Jiangxi/IVDC-JX-002/2020,Pingxiang,Jiangxi ,China,2020/1/11
EPI_ISL_408487,BetaCoV/Henan/IVDC-HeN-002/2020,Zhengzhou,Henan,China,2020/1/20
EPI_ISL_408488,BetaCoV/Jiangsu/IVDC-JS-001/2020,Huaian, Jiangsu,China,2020/1/19
EPI_ISL_408489,BetaCoV/Taiwan/NTU01/2020,Taipei,Taiwan,China,2020/1/31
EPI_ISL_408511,BetaCoV/Wuhan/IVDC-HB-envF13/2020,Wuhan,Hubei,China,2020/1/1
EPI_ISL_408512,BetaCoV/Wuhan/IVDC-HB-envF54/2020,Wuhan,Hubei,China,2020/1/1
EPI_ISL_408513,BetaCoV/Wuhan/IVDC-HB-envB5/2020,Wuhan,Hubei,China,2020/1/1
EPI_ISL_408514,BetaCoV/Wuhan/IVDC-HB-envF13-20/2020,Wuhan,Hubei,China,2020/1/1
EPI_ISL_408515,BetaCoV/Wuhan/IVDC-HB-envF13-21/2020,Wuhan,Hubei,China,2020/1/1
EPI_ISL_408665,BetaCoV/Japan/TY-WK-012/2020,Tokyo,Tokyo,Japan,2020/1/29
EPI_ISL_408666,BetaCoV/Japan/TY-WK-501/2020,Tokyo,Tokyo,Japan,2020/1/31
EPI_ISL_408667,BetaCoV/Japan/TY-WK-521/2020,Tokyo,Tokyo,Japan,2020/1/31
EPI_ISL_408668,BetaCoV/Vietnam/VR03-38142/2020,,Thanh Hoa,Vietnam,2020/1/24
EPI_ISL_408669,BetaCoV/Japan/KY-V-029/2020,Kyoto,Kyoto,Japan,2020/1/29
EPI_ISL_408670,BetaCoV/USA/WI1/2020,,Wisconsin, USA,2020/1/31
